,Driver,Test,MSize,RRSize,Round,Throughput(10^6bits/s),TransRate(per sec),Latency(ms)
0,virtio_net,TCP_CRR,0,32_32,rd1,NaN,2363.168,422.84
1,virtio_net,TCP_CRR,0,64_64,rd1,NaN,2351.076,425.04
2,virtio_net,TCP_RR,0,32_32,rd1,NaN,8021.700,124.50
3,virtio_net,TCP_RR,0,64_64,rd1,NaN,7783.711,128.33
4,virtio_net,TCP_STREAM,32,0,rd1,171.67,NaN,1.36
5,virtio_net,TCP_STREAM,32,0,rd1,170.49,NaN,1.37
6,virtio_net,TCP_STREAM,64,0,rd1,304.18,NaN,1.56
7,virtio_net,TCP_STREAM,64,0,rd1,299.85,NaN,1.58
8,virtio_net,UDP_RR,0,32_32,rd1,NaN,8225.867,121.40
9,virtio_net,UDP_RR,0,64_64,rd1,NaN,7824.078,127.62
10,virtio_net,UDP_STREAM,32,0,rd1,34.56,NaN,7.22
11,virtio_net,UDP_STREAM,32,0,rd1,35.22,NaN,7.07
12,virtio_net,UDP_STREAM,64,0,rd1,72.10,NaN,6.92
13,virtio_net,UDP_STREAM,64,0,rd1,70.17,NaN,7.12
